.й	sg,nom
.етӥз	sg,prol,3sg
.йытӥз|гес	sg,prol,3sg,comp
.йытӥз|гем	sg,prol,3sg,comp
.йытӥз	sg,prol,3sg
.йтӥз|гес	sg,prol,3sg,comp
.йтӥз|гем	sg,prol,3sg,comp
.йтӥз	sg,prol,3sg
.ймы|гес	sg,nom,1pl,comp
.ймы|гем	sg,nom,1pl,comp
.ймы	sg,nom,1pl
.ймылэн|гес	sg,gen,1pl,comp
.ймылэн|гем	sg,gen,1pl,comp
.ймылэн	sg,gen,1pl
.ймылэсь|гес	sg,abl,1pl,comp
.ймылэсь|гем	sg,abl,1pl,comp
.ймылэсь	sg,abl,1pl
.ймылы|гес	sg,dat,1pl,comp
.ймылы|гем	sg,dat,1pl,comp
.ймылы	sg,dat,1pl
.ймытэк|гес	sg,car,1pl,comp
.ймытэк|гем	sg,car,1pl,comp
.ймытэк	sg,car,1pl
.ймыя|гес	sg,adv,1pl,comp
.ймыя|гем	sg,adv,1pl,comp
.ймыя	sg,adv,1pl
.ймылань|гес	sg,app,1pl,comp
.ймылань|гем	sg,app,1pl,comp
.ймылань	sg,app,1pl
.ймес|гес	sg,acc,1pl,comp
.ймес|гем	sg,acc,1pl,comp
.ймес	sg,acc,1pl
.йынымы|гес	sg,ins,1pl,comp
.йынымы|гем	sg,ins,1pl,comp
.йынымы	sg,ins,1pl
.ямы|гес	sg,loc,1pl,comp
.ямы|гем	sg,loc,1pl,comp
.ямы	sg,loc,1pl
.ямы|гес	sg,ill,1pl,comp
.ямы|гем	sg,ill,1pl,comp
.ямы	sg,ill,1pl
.йысьтымы|гес	sg,el,1pl,comp
.йысьтымы|гем	sg,el,1pl,comp
.йысьтымы	sg,el,1pl
.йысенымы|гес	sg,egr,1pl,comp
.йысенымы|гем	sg,egr,1pl,comp
.йысенымы	sg,egr,1pl
.ёзямы|гес	sg,term,1pl,comp
.ёзямы|гем	sg,term,1pl,comp
.ёзямы	sg,term,1pl
.йёзямы|гес	sg,term,1pl,comp
.йёзямы|гем	sg,term,1pl,comp
.йёзямы	sg,term,1pl
.йытӥмы|гес	sg,prol,1pl,comp
.йытӥмы|гем	sg,prol,1pl,comp
.йытӥмы	sg,prol,1pl
.йтӥмы|гес	sg,prol,1pl,comp
.йтӥмы|гем	sg,prol,1pl,comp
.йтӥмы	sg,prol,1pl
.йты|гес	sg,nom,2pl,comp
.йты|гем	sg,nom,2pl,comp
.йты	sg,nom,2pl
.йды|гес	sg,nom,2pl,comp
.йды|гем	sg,nom,2pl,comp
.йды	sg,nom,2pl
.йтылэн|гес	sg,gen,2pl,comp
.йтылэн|гем	sg,gen,2pl,comp
.йтылэн	sg,gen,2pl
.йдылэн|гес	sg,gen,2pl,comp
.йдылэн|гем	sg,gen,2pl,comp
.йдылэн	sg,gen,2pl
.йтылэсь|гес	sg,abl,2pl,comp
.йтылэсь|гем	sg,abl,2pl,comp
.йтылэсь	sg,abl,2pl
.йдылэсь|гес	sg,abl,2pl,comp
.йдылэсь|гем	sg,abl,2pl,comp
.йдылэсь	sg,abl,2pl
.йтылы|гес	sg,dat,2pl,comp
.йтылы|гем	sg,dat,2pl,comp
.йтылы	sg,dat,2pl
.йдылы|гес	sg,dat,2pl,comp
.йдылы|гем	sg,dat,2pl,comp
.йдылы	sg,dat,2pl
.йтытэк|гес	sg,car,2pl,comp
.йтытэк|гем	sg,car,2pl,comp
.йтытэк	sg,car,2pl
.йдытэк|гес	sg,car,2pl,comp
.йдытэк|гем	sg,car,2pl,comp
.йдытэк	sg,car,2pl
.йтыя|гес	sg,adv,2pl,comp
.йтыя|гем	sg,adv,2pl,comp
.йтыя	sg,adv,2pl
.йдыя|гес	sg,adv,2pl,comp
.йдыя|гем	sg,adv,2pl,comp
.йдыя	sg,adv,2pl
.йтылань|гес	sg,app,2pl,comp
.йтылань|гем	sg,app,2pl,comp
.йтылань	sg,app,2pl
.йдылань|гес	sg,app,2pl,comp
.йдылань|гем	sg,app,2pl,comp
.йдылань	sg,app,2pl
.йтэс|гес	sg,acc,2pl,comp
.йтэс|гем	sg,acc,2pl,comp
.йтэс	sg,acc,2pl
.йдэс|гес	sg,acc,2pl,comp
.йдэс|гем	sg,acc,2pl,comp
.йдэс	sg,acc,2pl
.йыныды|гес	sg,ins,2pl,comp
.йыныды|гем	sg,ins,2pl,comp
.йыныды	sg,ins,2pl
.яды|гес	sg,loc,2pl,comp
.яды|гем	sg,loc,2pl,comp
.яды	sg,loc,2pl
.яды|гес	sg,ill,2pl,comp
.яды|гем	sg,ill,2pl,comp
.яды	sg,ill,2pl
.йысьтыды|гес	sg,el,2pl,comp
.йысьтыды|гем	sg,el,2pl,comp
.йысьтыды	sg,el,2pl
.йысеныды|гес	sg,egr,2pl,comp
.йысеныды|гем	sg,egr,2pl,comp
.йысеныды	sg,egr,2pl
.ёзяды|гес	sg,term,2pl,comp
.ёзяды|гем	sg,term,2pl,comp
.ёзяды	sg,term,2pl
.ьёзяды|гес	sg,term,2pl,comp
.ьёзяды|гем	sg,term,2pl,comp
.ьёзяды	sg,term,2pl
.йытӥды|гес	sg,prol,2pl,comp
.йытӥды|гем	sg,prol,2pl,comp
.йытӥды	sg,prol,2pl
.йтӥды|гес	sg,prol,2pl,comp
.йтӥды|гем	sg,prol,2pl,comp
.йтӥды	sg,prol,2pl
.йсы|гес	sg,nom,3pl,comp
.йсы|гем	sg,nom,3pl,comp
.йсы	sg,nom,3pl
.йзы|гес	sg,nom,3pl,comp
.йзы|гем	sg,nom,3pl,comp
.йзы	sg,nom,3pl
.йсылэн|гес	sg,gen,3pl,comp
.йсылэн|гем	sg,gen,3pl,comp
.йсылэн	sg,gen,3pl
.йзылэн|гес	sg,gen,3pl,comp
.йзылэн|гем	sg,gen,3pl,comp
.йзылэн	sg,gen,3pl
.йсылэсь|гес	sg,abl,3pl,comp
.йсылэсь|гем	sg,abl,3pl,comp
.йсылэсь	sg,abl,3pl
.йзылэсь|гес	sg,abl,3pl,comp
.йзылэсь|гем	sg,abl,3pl,comp
.йзылэсь	sg,abl,3pl
.йсылы|гес	sg,dat,3pl,comp
.йсылы|гем	sg,dat,3pl,comp
.йсылы	sg,dat,3pl
.йзылы|гес	sg,dat,3pl,comp
.йзылы|гем	sg,dat,3pl,comp
.йзылы	sg,dat,3pl
.йсытэк|гес	sg,car,3pl,comp
.йсытэк|гем	sg,car,3pl,comp
.йсытэк	sg,car,3pl
.йзытэк|гес	sg,car,3pl,comp
.йзытэк|гем	sg,car,3pl,comp
.йзытэк	sg,car,3pl
.йсыя|гес	sg,adv,3pl,comp
.йсыя|гем	sg,adv,3pl,comp
.йсыя	sg,adv,3pl
.йзыя|гес	sg,adv,3pl,comp
.йзыя|гем	sg,adv,3pl,comp
.йзыя	sg,adv,3pl
.йсылань|гес	sg,app,3pl,comp
.йсылань|гем	sg,app,3pl,comp
.йсылань	sg,app,3pl
.йзылань|гес	sg,app,3pl,comp
.йзылань|гем	sg,app,3pl,comp
.йзылань	sg,app,3pl
.йсэс|гес	sg,acc,3pl,comp
.йсэс|гем	sg,acc,3pl,comp
.йсэс	sg,acc,3pl
.йзэс|гес	sg,acc,3pl,comp
.йзэс|гем	sg,acc,3pl,comp
.йзэс	sg,acc,3pl
.йынызы|гес	sg,ins,3pl,comp
.йынызы|гем	sg,ins,3pl,comp
.йынызы	sg,ins,3pl
.язы|гес	sg,loc,3pl,comp
.язы|гем	sg,loc,3pl,comp
.язы	sg,loc,3pl
.язы|гес	sg,ill,3pl,comp
.язы|гем	sg,ill,3pl,comp
.язы	sg,ill,3pl
.йысьтызы|гес	sg,el,3pl,comp
.йысьтызы|гем	sg,el,3pl,comp
.йысьтызы	sg,el,3pl
.йысенызы|гес	sg,egr,3pl,comp
.йысенызы|гем	sg,egr,3pl,comp
